Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Area_under_ROC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_area_under_ROC,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Summary
car,3,1,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,2.01511202141E7,1536.0,171.0,149.0,22.0,0.0,87.13450292397661,12.865497076023392,0.0,0.6981222917669716,0.10447649061536762,0.2169204611889112,45.25286857898436,63.90954952207398,206.73300976330376,75.43262046733257,131.30038929597117,1.2089649693760454,0.441126435481477,0.7678385338945682,128.63773211113,0.7522674392463742,10549.03087567696,0.9831932773109243,117.0,0.21153846153846154,11.0,0.7884615384615384,41.0,0.01680672268907563,2.0,0.9140625,0.9831932773109243,0.9473684210526315,0.9907886231415644,0.8713450292397661,0.16621682411156097,0.8337831758884392,0.1286549707602339,0.8758680555555556,0.8713450292397661,0.858759960329674,0.9865151465279833,0.0,0.002,0.0,0.0,4773.0,133170.0,17145.0,?
car,3,2,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,2.01511202141E7,1536.0,171.0,146.0,25.0,0.0,85.38011695906432,14.619883040935672,0.0,0.6733399556812103,0.10938207873340208,0.22256125104770771,47.37767132743529,65.57145055643706,206.73300976330376,77.67928061864518,129.05372914465858,1.2089649693760454,0.4542647989394455,0.7547001704365999,125.2142119986152,0.7322468537930713,10268.282616377579,0.9327731092436975,111.0,0.19230769230769232,10.0,0.8076923076923077,42.0,0.06722689075630252,8.0,0.9173553719008265,0.9327731092436975,0.925,0.9794764059469941,0.8538011695906432,0.15974522553469922,0.8402547744653007,0.14619883040935672,0.8647358755014258,0.8538011695906432,0.8510410061297822,0.9756958013697425,0.001,0.001,0.0,0.015625,4773.0,133170.0,17145.0,?
car,3,3,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,2.01511202141E7,1536.0,171.0,150.0,21.0,0.0,87.71929824561404,12.280701754385966,0.0,0.7318147871545928,0.12467988607134176,0.23649494860435938,54.00375209386352,69.67662500213822,206.73300976330376,90.02067712460959,116.71233263869416,1.2089649693760454,0.5264367083310503,0.6825282610449951,110.68308732156584,0.647269516500385,9076.64715794087,0.9495798319327731,113.0,0.057692307692307696,3.0,0.9423076923076923,49.0,0.05042016806722689,6.0,0.9741379310344828,0.9495798319327731,0.9617021276595743,0.986748545572075,0.8771929824561403,0.06977072991193659,0.9302292700880634,0.12280701754385964,0.8665053438193184,0.8771929824561403,0.8622371531666043,0.9786682532510518,0.001,0.002,0.0,0.015625,4773.0,133170.0,17145.0,?
car,3,4,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,2.01511202141E7,1536.0,171.0,143.0,28.0,0.0,83.62573099415205,16.374269005847953,0.0,0.6495901639344263,0.12325044401626382,0.23745958154505858,53.272885618079435,69.79602822301213,209.27226247128024,88.5889426207274,120.68331985055285,1.2238144004168434,0.5180639919340784,0.7057504084827652,115.060339179824,0.6728674805837661,9448.39603603499,0.9159663865546218,109.0,0.09615384615384616,5.0,0.9038461538461539,47.0,0.08403361344537816,10.0,0.956140350877193,0.9159663865546218,0.9356223175965666,0.9733354880413704,0.8362573099415205,0.1025010148886914,0.8974989851113087,0.16374269005847952,0.8524437499506752,0.8362573099415205,0.8305727759232768,0.9661353442854693,0.001,0.002,0.0,0.0,4773.0,133170.0,17145.0,?
car,3,5,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,2.01511202141E7,1536.0,171.0,149.0,22.0,0.0,87.13450292397661,12.865497076023392,0.0,0.7053109822967256,0.1150544776666482,0.2275110550022313,49.730320060951826,66.87187736397931,209.27226247128024,81.43673109113989,127.83553138014035,1.2238144004168434,0.47623819351543795,0.7475762069014056,123.66639067331653,0.7231952670954183,10155.098131619341,0.9663865546218487,115.0,0.23076923076923078,12.0,0.7692307692307693,40.0,0.03361344537815126,4.0,0.905511811023622,0.9663865546218487,0.934959349593496,0.9776987718164188,0.8713450292397661,0.17588099391693746,0.8241190060830627,0.1286549707602339,0.8651876139321594,0.8713450292397661,0.8650805366680421,0.9732585388622143,0.001,0.001,0.0,0.0,4773.0,133170.0,17145.0,?
car,3,6,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,2.01511202141E7,1536.0,171.0,155.0,16.0,0.0,90.64327485380117,9.35672514619883,0.0,0.7933534743202417,0.10542778182657236,0.21589998552482717,45.569346277354526,63.45905852689029,209.27226247128024,77.03496832137698,132.23729414990328,1.2238144004168434,0.4504968907682864,0.7733175096485572,129.2263750025168,0.7557097953363555,10611.666696173375,0.9831932773109243,117.0,0.057692307692307696,3.0,0.9423076923076923,49.0,0.01680672268907563,2.0,0.975,0.9831932773109243,0.9790794979079498,0.9922430510665805,0.9064327485380117,0.05760570908196069,0.9423942909180393,0.0935672514619883,0.897984228247386,0.9064327485380117,0.8968895316868525,0.9873002591399996,0.0,0.001,0.0,0.015625,4773.0,133170.0,17145.0,?
car,3,7,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,2.01511202141E7,1536.0,171.0,153.0,18.0,0.0,89.47368421052632,10.526315789473685,0.0,0.7713903743315509,0.11700077143410072,0.22511132410340123,50.571572083045936,66.16652917607898,209.27226247128024,81.55851210654228,127.71375036473796,1.2238144004168434,0.4769503631961537,0.7468640372206898,122.65814359407818,0.7172990853454865,10072.304027458644,0.9495798319327731,113.0,0.09615384615384616,5.0,0.9038461538461539,47.0,0.05042016806722689,6.0,0.9576271186440678,0.9495798319327731,0.9535864978902954,0.9851325145442793,0.8947368421052632,0.08721381314449352,0.9127861868555065,0.10526315789473684,0.9017192441813315,0.8947368421052632,0.8941105590168815,0.9826410105445307,0.001,0.001,0.0,0.0,4773.0,133170.0,17145.0,?
car,3,8,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,2.01511202141E7,1537.0,170.0,137.0,33.0,0.0,80.58823529411765,19.41176470588235,0.0,0.5280955585464334,0.11465689878726164,0.2325363261765045,49.83767405349176,68.78325377173886,204.6837141587263,84.67585061306603,120.00786354566027,1.2040218479925078,0.4980932389003884,0.7059286090921193,116.9495085684145,0.6879382856965559,9586.248614145188,0.9663865546218487,115.0,0.35294117647058826,18.0,0.6470588235294118,33.0,0.03361344537815126,4.0,0.8646616541353384,0.9663865546218487,0.9126984126984127,0.9775910364145658,0.8058823529411765,0.26802530324768487,0.7319746967523151,0.19411764705882353,0.7893808049535604,0.8058823529411765,0.7889926951172626,0.9655319333942002,0.001,0.001,0.0,0.0,4773.0,133255.0,17060.0,?
car,3,9,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,2.01511202141E7,1537.0,170.0,140.0,30.0,0.0,82.3529411764706,17.647058823529413,0.0,0.594723458359822,0.12093459824335098,0.23548039284160946,52.56813297793266,69.65667929297157,204.5799124661086,87.15445438539442,117.42545808071418,1.2034112498006388,0.5126732610905554,0.6907379887100834,112.56275953431869,0.6621338796136393,9226.209971026225,0.9411764705882353,112.0,0.23529411764705882,12.0,0.7647058823529411,39.0,0.058823529411764705,7.0,0.9032258064516129,0.9411764705882353,0.9218106995884774,0.9706706211896523,0.8235294117647058,0.1923055892741927,0.8076944107258074,0.17647058823529413,0.822258064516129,0.8235294117647058,0.8154443716535219,0.9627366067321913,0.001,0.001,0.0,0.015625,4773.0,133255.0,17060.0,?
car,3,10,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,2.01511202141E7,1537.0,170.0,145.0,25.0,0.0,85.29411764705883,14.705882352941176,0.0,0.6677870710544829,0.11372747764629329,0.22733493115714165,49.17219537873634,66.8437533417488,206.2093665175135,81.43633779917256,124.77302871834094,1.2129962736324325,0.4790372811716033,0.7339589924608291,121.02980704299864,0.7119400414294038,9928.813107334352,0.9491525423728814,112.0,0.19230769230769232,10.0,0.8076923076923077,42.0,0.05084745762711865,6.0,0.9180327868852459,0.9491525423728814,0.9333333333333333,0.9794654498044328,0.8529411764705882,0.15825406711106751,0.8417459328889325,0.14705882352941177,0.8581187907873786,0.8529411764705882,0.842653921879173,0.9714359019566167,0.001,0.001,0.0,0.0,4773.0,133255.0,17060.0,?
