@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Summary string

@data

car,2,10,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20151120.2136,1537,170,142,28,0,83.529412,16.470588,0,0.621351,0.124943,0.236146,54.021642,69.434359,206.209367,87.738665,118.470702,1.212996,0.51611,0.696886,113.062134,0.665071,9275.176288,0.949153,112,0.230769,12,0.769231,40,0.050847,6,0.903226,0.949153,0.92562,0.977836,0.835294,0.188201,0.811799,0.164706,0.847465,0.835294,0.82195,0.971638,0.002,0.002,0,0,4773,133255,17060,?
car,3,1,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20151120.2136,1536,171,149,22,0,87.134503,12.865497,0,0.698122,0.104476,0.21692,45.252869,63.90955,206.73301,75.43262,131.300389,1.208965,0.441126,0.767839,128.637732,0.752267,10549.030876,0.983193,117,0.211538,11,0.788462,41,0.016807,2,0.914063,0.983193,0.947368,0.990789,0.871345,0.166217,0.833783,0.128655,0.875868,0.871345,0.85876,0.986515,0.001,0.002,0,0.015625,4773,133170,17145,?
car,3,2,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20151120.2136,1536,171,146,25,0,85.380117,14.619883,0,0.67334,0.109382,0.222561,47.377671,65.571451,206.73301,77.679281,129.053729,1.208965,0.454265,0.7547,125.214212,0.732247,10268.282616,0.932773,111,0.192308,10,0.807692,42,0.067227,8,0.917355,0.932773,0.925,0.979476,0.853801,0.159745,0.840255,0.146199,0.864736,0.853801,0.851041,0.975696,0.001,0.002,0,0,4773,133170,17145,?
car,3,3,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20151120.2136,1536,171,150,21,0,87.719298,12.280702,0,0.731815,0.12468,0.236495,54.003752,69.676625,206.73301,90.020677,116.712333,1.208965,0.526437,0.682528,110.683087,0.64727,9076.647158,0.94958,113,0.057692,3,0.942308,49,0.05042,6,0.974138,0.94958,0.961702,0.986749,0.877193,0.069771,0.930229,0.122807,0.866505,0.877193,0.862237,0.978668,0.001,0.002,0,0,4773,133170,17145,?
car,3,4,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20151120.2136,1536,171,143,28,0,83.625731,16.374269,0,0.64959,0.12325,0.23746,53.272886,69.796028,209.272262,88.588943,120.68332,1.223814,0.518064,0.70575,115.060339,0.672867,9448.396036,0.915966,109,0.096154,5,0.903846,47,0.084034,10,0.95614,0.915966,0.935622,0.973335,0.836257,0.102501,0.897499,0.163743,0.852444,0.836257,0.830573,0.966135,0,0.002,0,0,4773,133170,17145,?
car,3,5,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20151120.2136,1536,171,149,22,0,87.134503,12.865497,0,0.705311,0.115054,0.227511,49.73032,66.871877,209.272262,81.436731,127.835531,1.223814,0.476238,0.747576,123.666391,0.723195,10155.098132,0.966387,115,0.230769,12,0.769231,40,0.033613,4,0.905512,0.966387,0.934959,0.977699,0.871345,0.175881,0.824119,0.128655,0.865188,0.871345,0.865081,0.973259,0,0.002,0,0,4773,133170,17145,?
car,3,6,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20151120.2136,1536,171,155,16,0,90.643275,9.356725,0,0.793353,0.105428,0.2159,45.569346,63.459059,209.272262,77.034968,132.237294,1.223814,0.450497,0.773318,129.226375,0.75571,10611.666696,0.983193,117,0.057692,3,0.942308,49,0.016807,2,0.975,0.983193,0.979079,0.992243,0.906433,0.057606,0.942394,0.093567,0.897984,0.906433,0.89689,0.9873,0.001,0.002,0,0,4773,133170,17145,?
car,3,7,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20151120.2136,1536,171,153,18,0,89.473684,10.526316,0,0.77139,0.117001,0.225111,50.571572,66.166529,209.272262,81.558512,127.71375,1.223814,0.47695,0.746864,122.658144,0.717299,10072.304027,0.94958,113,0.096154,5,0.903846,47,0.05042,6,0.957627,0.94958,0.953586,0.985133,0.894737,0.087214,0.912786,0.105263,0.901719,0.894737,0.894111,0.982641,0.001,0.001,0,0,4773,133170,17145,?
car,3,8,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20151120.2136,1537,170,137,33,0,80.588235,19.411765,0,0.528096,0.114657,0.232536,49.837674,68.783254,204.683714,84.675851,120.007864,1.204022,0.498093,0.705929,116.949509,0.687938,9586.248614,0.966387,115,0.352941,18,0.647059,33,0.033613,4,0.864662,0.966387,0.912698,0.977591,0.805882,0.268025,0.731975,0.194118,0.789381,0.805882,0.788993,0.965532,0.001,0.001,0,0,4773,133255,17060,?
car,3,9,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20151120.2136,1537,170,140,30,0,82.352941,17.647059,0,0.594723,0.120935,0.23548,52.568133,69.656679,204.579912,87.154454,117.425458,1.203411,0.512673,0.690738,112.56276,0.662134,9226.209971,0.941176,112,0.235294,12,0.764706,39,0.058824,7,0.903226,0.941176,0.921811,0.970671,0.823529,0.192306,0.807694,0.176471,0.822258,0.823529,0.815444,0.962737,0.001,0.002,0,0.015625,4773,133255,17060,?
